id,id_bl,id_si,id_eoy22,cohort,ayear,sample,sent,some_place,b1,b2,b3,b4,b5,b6,db1,db2,db3,db4,db5,db6
131,579,NA,NA,1617,1718,us ug,Belong,Some Place,FSL,Panda,WC,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,584,NA,NA,1617,1718,us ug,Belong,Some Place,Fishbowl,Holden,WC,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,585,NA,NA,1617,1718,us ug,Belong,Some Place,DuckStore,EastAtrium,Subway,NA,NA,NA,NA,NA,NA,NA,NA,NA
134,591,NA,NA,1617,1718,us ug,Belong,Some Place,EastAtrium,Other1,Plaza,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,595,NA,NA,1617,1718,us ug,Belong,Some Place,Courtyard,Craft,WC,NA,NA,NA,NA,NA,NA,NA,NA,NA
137,599,NA,NA,1617,1718,us ug,Belong,Some Place,Fishbowl,Other1,No Place,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,605,NA,NA,1617,1718,us ug,Belong,Some Place,Courtyard,Craft,Starbucks,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,606,NA,NA,1617,1718,us ug,Belong,Some Place,Emerald,Fishbowl,Mills,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,615,NA,NA,1617,1718,us ug,Belong,No Place,No Place,No Place,No Place,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,616,NA,NA,1617,1718,us ug,Belong,Some Place,Craft,EastAtrium,Mills,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,638,NA,NA,1617,1718,us ug,Belong,No Place,No Place,No Place,No Place,NA,NA,NA,NA,NA,NA,NA,NA,NA
153,639,NA,NA,1617,1718,us ug,Belong,No Place,No Place,No Place,No Place,NA,NA,NA,NA,NA,NA,NA,NA,NA
156,649,NA,NA,1617,1718,us ug,Belong,Some Place,Fishbowl,Other2,No Place,NA,NA,NA,NA,NA,NA,NA,NA,NA
157,651,NA,NA,1617,1718,us ug,Belong,Some Place,Fishbowl,FSL,KWVA,NA,NA,NA,NA,NA,NA,NA,NA,NA
163,665,NA,NA,1617,1718,us ug,Belong,Some Place,DuckStore,FallingSky,Fishbowl,NA,NA,NA,NA,NA,NA,NA,NA,NA
164,671,NA,NA,1617,1718,us ug,Belong,Some Place,EastAtrium,Fishbowl,MCC,NA,NA,NA,NA,NA,NA,NA,NA,NA
166,676,NA,NA,1617,1718,us ug,Belong,Some Place,McMillan,Skylight,Taylor,NA,NA,NA,NA,NA,NA,NA,NA,NA
172,686,NA,NA,1617,1718,us ug,Belong,Some Place,Fishbowl,Joes,Panda,NA,NA,NA,NA,NA,NA,NA,NA,NA
173,687,NA,NA,1617,1718,us ug,Belong,Some Place,DuckNest,McMillan,Taylor,NA,NA,NA,NA,NA,NA,NA,NA,NA
174,689,NA,NA,1617,1718,us ug,Belong,Some Place,Courtyard,Fishbowl,O,NA,NA,NA,NA,NA,NA,NA,NA,NA
176,693,NA,NA,1617,1718,us ug,Belong,Some Place,Lobby,No Place,No Place,NA,NA,NA,NA,NA,NA,NA,NA,NA
177,695,NA,NA,1617,1718,us ug,Belong,Some Place,Courtyard,EastAtrium,Taylor,NA,NA,NA,NA,NA,NA,NA,NA,NA
