id,id_bl,id_si,id_eoy22,cohort,ayear,sample,sent,some_place,place_num,place
42,280,NA,NA,1516,1718,us ug,Belong,Some Place,b3,SRC
43,284,NA,NA,1516,1718,us ug,Belong,Some Place,b1,HaywardField
43,284,NA,NA,1516,1718,us ug,Belong,Some Place,b2,MattKnight
43,284,NA,NA,1516,1718,us ug,Belong,Some Place,b3,Other
44,286,NA,NA,1516,1718,us ug,Belong,Some Place,b1,EMU
44,286,NA,NA,1516,1718,us ug,Belong,Some Place,b2,Library
44,286,NA,NA,1516,1718,us ug,Belong,Some Place,b3,MattKnight
45,302,NA,NA,1516,1718,us ug,Belong,Some Place,b1,EMU
45,302,NA,NA,1516,1718,us ug,Belong,Some Place,b2,LokeyComplex
45,302,NA,NA,1516,1718,us ug,Belong,Some Place,b3,No Place
46,303,NA,NA,1516,1718,us ug,Belong,Some Place,b1,EMU
46,303,NA,NA,1516,1718,us ug,Belong,Some Place,b2,HEDCO
46,303,NA,NA,1516,1718,us ug,Belong,Some Place,b3,No Place
47,314,NA,NA,1516,1718,us ug,Belong,Some Place,b1,EMU
47,314,NA,NA,1516,1718,us ug,Belong,Some Place,b2,Library
47,314,NA,NA,1516,1718,us ug,Belong,Some Place,b3,LillisComplex
48,315,NA,NA,1516,1718,us ug,Belong,Some Place,b1,Ford
48,315,NA,NA,1516,1718,us ug,Belong,Some Place,b2,LLC
48,315,NA,NA,1516,1718,us ug,Belong,Some Place,b3,Other
49,316,NA,NA,1516,1718,us ug,Belong,Some Place,b1,EMU
49,316,NA,NA,1516,1718,us ug,Belong,Some Place,b2,Library
49,316,NA,NA,1516,1718,us ug,Belong,Some Place,b3,LokeyComplex
50,322,NA,NA,1516,1718,us ug,Belong,Some Place,b1,Deady
50,322,NA,NA,1516,1718,us ug,Belong,Some Place,b2,LillisComplex
50,322,NA,NA,1516,1718,us ug,Belong,Some Place,b3,No Place
51,324,NA,NA,1516,1718,us ug,Belong,Some Place,b1,EMU
51,324,NA,NA,1516,1718,us ug,Belong,Some Place,b2,SRC
51,324,NA,NA,1516,1718,us ug,Belong,Some Place,b3,Straub.Earl
52,328,NA,NA,1516,1718,us ug,Belong,Some Place,b1,Library
52,328,NA,NA,1516,1718,us ug,Belong,Some Place,b2,LokeyComplex
52,328,NA,NA,1516,1718,us ug,Belong,Some Place,b3,No Place
53,330,NA,NA,1516,1718,us ug,Belong,Some Place,b1,Allen
53,330,NA,NA,1516,1718,us ug,Belong,Some Place,b2,EMU
53,330,NA,NA,1516,1718,us ug,Belong,Some Place,b3,SRC
54,342,NA,NA,1516,1718,us ug,Belong,No Place,b1,No Place
54,342,NA,NA,1516,1718,us ug,Belong,No Place,b2,No Place
54,342,NA,NA,1516,1718,us ug,Belong,No Place,b3,No Place
55,348,NA,NA,1516,1718,us ug,Belong,Some Place,b1,EMU
55,348,NA,NA,1516,1718,us ug,Belong,Some Place,b2,HCTCenters
55,348,NA,NA,1516,1718,us ug,Belong,Some Place,b3,LokeyComplex
56,350,NA,NA,1516,1718,us ug,Belong,Some Place,b1,LokeyComplex
56,350,NA,NA,1516,1718,us ug,Belong,Some Place,b2,SRC
56,350,NA,NA,1516,1718,us ug,Belong,Some Place,b3,No Place
57,356,NA,NA,1516,1718,us ug,Belong,Some Place,b1,LLC
57,356,NA,NA,1516,1718,us ug,Belong,Some Place,b2,SRC
57,356,NA,NA,1516,1718,us ug,Belong,Some Place,b3,Straub.Earl
58,357,NA,NA,1516,1718,us ug,Belong,Some Place,b1,Autzen
58,357,NA,NA,1516,1718,us ug,Belong,Some Place,b2,LokeyComplex
58,357,NA,NA,1516,1718,us ug,Belong,Some Place,b3,MattKnight
59,359,NA,NA,1516,1718,us ug,Belong,Some Place,b1,Hendricks
59,359,NA,NA,1516,1718,us ug,Belong,Some Place,b2,Oregon
59,359,NA,NA,1516,1718,us ug,Belong,Some Place,b3,Other
60,365,NA,NA,1516,1718,us ug,Belong,Some Place,b1,Autzen
